onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes
201.24066	2910.8291	epochs														
201.24066	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
203.24066	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
205.24065	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
207.24065	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
209.24064	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
211.24064	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
213.24063	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
215.24063	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
217.24062	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
219.24061	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
221.24061	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
223.2406	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
225.2406	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
227.24059	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
229.24059	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
231.24058	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
233.24058	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
235.24057	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
237.24057	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
239.24056	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
241.24056	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
243.24055	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
245.24055	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
247.24054	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
249.24054	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
251.24053	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
253.24053	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
255.24052	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
257.24052	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
259.24051	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
261.2405	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
263.2405	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
265.24049	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
267.24049	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
269.24048	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
271.24048	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
273.24047	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
275.24047	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
277.24046	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
279.24046	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
281.24045	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
283.24045	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
285.24044	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
287.24044	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
289.24043	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
291.24043	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
293.24042	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
295.24042	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
297.24041	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
299.24041	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
301.2404	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
303.2404	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
305.24039	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
307.24039	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
309.24038	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
311.24038	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
313.24037	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
315.24037	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
317.24036	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
319.24036	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
321.24035	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
323.24035	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
325.24034	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
327.24034	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
329.24033	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
331.24032	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
333.24032	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
335.24031	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
337.24031	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
339.2403	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
341.2403	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
343.24029	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
345.24029	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
347.24028	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
349.24028	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	25.0	16b,1r	1.0	16.0	bipolar	
442.36101	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
444.36101	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
446.361	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
448.361	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
450.361	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
452.36099	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
454.36099	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
456.36098	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
458.36098	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
460.36097	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
462.36097	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
464.36096	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
466.36096	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
468.36095	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
470.36095	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
472.36094	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
474.36094	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
476.36093	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
478.36093	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
480.36092	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
482.36092	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
484.36091	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
486.36091	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
488.3609	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
490.3609	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
492.36089	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
494.36089	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
496.36088	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
498.36088	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
500.36087	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
502.36087	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	50.0	16b,1r	1.0	16.0	bipolar	
