onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes
926.36004	1196.26174	epochs														
926.36004	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
928.36004	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
930.36003	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
932.36003	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
934.36003	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
936.36002	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
938.36002	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
940.36002	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
942.36001	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
944.36001	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
946.36001	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
948.36	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
950.36	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
952.36	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
954.35999	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
956.35999	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
958.35998	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
960.35998	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
962.35998	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
964.35997	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
966.35997	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
968.35997	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
970.35996	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
972.35996	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
974.35996	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
976.35995	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
978.35995	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
980.35994	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
982.35994	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
984.35994	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
986.35993	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
988.35993	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
990.35993	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
992.35992	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
994.35992	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
996.35992	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
998.35991	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1000.35991	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1002.35991	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1004.3599	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1006.3599	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1008.35989	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1010.35989	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1012.35989	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1014.35988	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1016.35988	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1018.35988	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1020.35987	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1022.35987	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1024.35987	2.0	trials	1.0	2.0	50.0	biphasic	0.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1102.55118	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1104.55117	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1106.55117	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1108.55117	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1110.55116	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1112.55116	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1114.55116	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1116.55115	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1118.55115	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1120.55115	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1122.55114	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1124.55114	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1126.55114	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1128.55113	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1130.55113	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1132.55112	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1134.55112	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1136.55112	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1138.55111	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1140.55111	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1142.55111	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1144.5511	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1146.5511	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
1148.5511	2.0	trials	1.0	2.0	50.0	biphasic	1.0	100.0	1.0	10.0	25.0	15r,2b	15.0	2.0	bipolar	
