participant_id	original_participant_id	species	sex	strain
sub-jlh14	sub-jlh14	Mus musculus	M	C57/B6
sub-jlh15	sub-jlh15	Mus musculus	M	C57/B6
sub-jlh19	sub-jlh19	Mus musculus	F	C57/B6
sub-jlh31	sub-jlh31	Mus musculus	F	C57/B6
sub-jlh32	sub-jlh32	Mus musculus	F	C57/B6
sub-jlh33	sub-jlh33	Mus musculus	F	C57/B6
sub-jlh34	sub-jlh34	Mus musculus	M	C57/B6
sub-jlh39	sub-jlh39	Mus musculus	F	C57/B6
sub-jlh40	sub-jlh40	Mus musculus	M	C57/B6
sub-jlh41	sub-jlh41	Mus musculus	F	C57/B6
