onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
5132.924521433502	5774.7145813223	epochs																
5132.924521433502	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5134.924189413364	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5136.9241912344605	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5138.92385882413	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5140.924194876655	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5142.924196697752	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5144.924198518849	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5146.9238655882045	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
5148.92416886098	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	2b_15r	15.0	2.0	bipolar		[8884.911448897059, 1344.0510389476128, 8213.772137775735]	[8891.797517784928, 1393.5446590791612, 8212.050620553768]
