name	electrode_name	type	units
ch245	e245	n/a	V
ch246	e246	n/a	V
ch247	e247	n/a	V
ch248	e248	n/a	V
ch249	e249	n/a	V
ch250	e250	n/a	V
ch251	e251	n/a	V
ch252	e252	n/a	V
ch253	e253	n/a	V
ch254	e254	n/a	V
ch255	e255	n/a	V
ch256	e256	n/a	V
ch257	e257	n/a	V
ch258	e258	n/a	V
ch259	e259	n/a	V
ch260	e260	n/a	V
ch261	e261	n/a	V
ch262	e262	n/a	V
ch263	e263	n/a	V
ch264	e264	n/a	V
ch265	e265	n/a	V
ch266	e266	n/a	V
ch267	e267	n/a	V
ch268	e268	n/a	V
ch269	e269	n/a	V
ch270	e270	n/a	V
ch271	e271	n/a	V
ch272	e272	n/a	V
ch273	e273	n/a	V
ch274	e274	n/a	V
ch275	e275	n/a	V
ch276	e276	n/a	V
ch277	e277	n/a	V
ch278	e278	n/a	V
ch279	e279	n/a	V
ch280	e280	n/a	V
ch281	e281	n/a	V
ch282	e282	n/a	V
ch283	e283	n/a	V
ch284	e284	n/a	V
ch285	e285	n/a	V
ch286	e286	n/a	V
ch287	e287	n/a	V
ch288	e288	n/a	V
ch289	e289	n/a	V
ch290	e290	n/a	V
ch291	e291	n/a	V
ch292	e292	n/a	V
ch293	e293	n/a	V
ch294	e294	n/a	V
ch295	e295	n/a	V
ch296	e296	n/a	V
ch297	e297	n/a	V
ch298	e298	n/a	V
ch299	e299	n/a	V
ch300	e300	n/a	V
ch301	e301	n/a	V
ch302	e302	n/a	V
ch303	e303	n/a	V
ch304	e304	n/a	V
ch305	e305	n/a	V
ch306	e306	n/a	V
ch307	e307	n/a	V
ch308	e308	n/a	V
ch309	e309	n/a	V
ch310	e310	n/a	V
ch311	e311	n/a	V
ch312	e312	n/a	V
ch313	e313	n/a	V
ch314	e314	n/a	V
ch315	e315	n/a	V
ch316	e316	n/a	V
ch317	e317	n/a	V
ch318	e318	n/a	V
ch319	e319	n/a	V
ch320	e320	n/a	V
ch321	e321	n/a	V
ch322	e322	n/a	V
ch323	e323	n/a	V
ch324	e324	n/a	V
ch325	e325	n/a	V
ch326	e326	n/a	V
ch327	e327	n/a	V
ch328	e328	n/a	V
ch329	e329	n/a	V
ch330	e330	n/a	V
ch331	e331	n/a	V
ch332	e332	n/a	V
ch333	e333	n/a	V
ch334	e334	n/a	V
ch335	e335	n/a	V
ch336	e336	n/a	V
ch337	e337	n/a	V
ch338	e338	n/a	V
ch339	e339	n/a	V
ch340	e340	n/a	V
