onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
1991.6136	6447.410233333333	epochs																
1991.6136	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
1993.6156	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
1995.6176	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
1997.6196	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
1999.6216	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2001.6236	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2003.6255666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2005.6275666666668	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2007.6295666666667	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2009.6315666666667	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2011.6335666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2013.6355666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2015.6375333333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2017.6395333333332	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2019.6415333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2021.6435333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2023.6455333333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2025.6475333333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2027.6495333333332	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2029.6515	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2031.6535	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2033.6555	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2035.6575	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2037.6595	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2039.6615	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2041.6635	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2043.6654666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2045.6674666666668	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2047.6694666666667	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2049.6713332245226	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2051.6734666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2053.6756003695054	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2055.677332833507	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2057.679567296847	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2059.681433333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
2061.683433333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428. 1288. 3303.]	[8428. 1238. 3303.]
