onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
6049.042463575283	2386.09047547938	epochs																
6049.042463575283	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6051.042289365897	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6053.042296520227	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6055.042303674556	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6057.042310828886	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6059.042317983216	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6061.042142993378	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6063.042332291875	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6065.042339446205	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6067.04213076598	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6069.042137790229	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6071.042144814481	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6073.0423347633705	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6075.042524972443	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6077.0423490720295	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6079.04253954126	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6081.0423633806895	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6083.042370535019	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6085.0423776893485	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6087.042201008484	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6089.042391998008	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6091.042181756835	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6093.042373006514	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6095.042195805336	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6097.042202829585	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6099.0422098538365	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6101.042216878086	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
6103.042408778163	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	16r	16.0	0.0	monopolar		[842.8 128.8 330.3]	[0 0 0]
