onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
2669.2971333333335	4107.444866666667	epochs																
2669.2971333333335	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2671.299273912713	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2673.3011	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2675.3031	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2677.3052743037288	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2679.3071	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2681.3091	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2683.3111	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2685.3131	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2687.3150666666666	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2689.3170666666665	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2691.318891450593	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2693.321066666667	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2695.323066666667	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
2697.3252422737787	2.0	trials	1.0	2.0	60.0	biphasic	0.0	100.0	1.0	10.0	-5.0	5r_12b	5.0	12.0	bipolar		[8428.0, 1138.0, 3303.0]	[8428.0, 1088.0, 3303.0]
