onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes
2315.83236	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2317.83235	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2319.83235	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2321.83234	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2323.83234	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2325.83234	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2327.83233	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2329.83233	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2331.83233	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2333.83232	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2335.83232	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2337.83231	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2339.83231	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2341.83231	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2343.8323	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2345.8323	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2347.83229	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2349.83229	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2351.83229	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2353.83228	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2355.83228	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2357.83228	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2359.83227	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2361.83227	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2363.83226	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2365.83226	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2367.83226	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2369.83225	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2371.83225	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2373.83224	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2375.83224	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2377.83224	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2379.83223	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2381.83223	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2383.83223	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2385.83222	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	10.0	16r,1b	16.0	1.0	bipolar	
2427.81469	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2429.81468	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2431.81468	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2433.81468	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2435.81467	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2437.81467	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2439.81466	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2441.81466	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2443.81466	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2445.81465	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2447.81465	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2449.81464	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2451.81464	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2453.81464	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2455.81463	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2457.81463	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2459.81463	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2461.81462	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2463.81462	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2465.81461	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2467.81461	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2469.81461	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2471.8146	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2473.8146	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2475.81459	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
2477.81459	2.0	trials	1.0	2.0	75.0	biphasic	1.0	100.0	1.0	10.0	25.0	16r,1b	16.0	1.0	bipolar	
