onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
2631.491562012268	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2633.493733333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2635.495733333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2637.4975616212523	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2639.4997333333336	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2641.501733333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2643.503905436452	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2645.5057333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2647.5077333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2649.509905827468	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2651.511560708883	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
