onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
1991.6136	6447.410233333333	epochs																
1991.6136	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
1993.6156	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
1995.6176	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
1997.6196	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
1999.6216	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2001.6236	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2003.6255666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2005.6275666666668	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2007.6295666666667	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2009.6315666666667	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2011.6335666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2013.6355666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2015.6375333333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2017.6395333333332	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2019.6415333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2021.6435333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2023.6455333333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2025.6475333333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2027.6495333333332	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2029.6515	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2031.6535	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2033.6555	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2035.6575	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2037.6595	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2039.6615	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2041.6635	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2043.6654666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2045.6674666666668	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2047.6694666666667	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2049.6713332245226	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2051.6734666666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2053.6756003695054	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2055.677332833507	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2057.679567296847	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2059.681433333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2061.683433333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2063.6854333333335	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2065.6872988484834	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2067.6895679485397	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
2069.6914333333334	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-25.0	16r_2b	16.0	2.0	bipolar		[8428.0, 1288.0, 3303.0]	[8428.0, 1238.0, 3303.0]
